0,1
法雷尔先生表示，如果联邦政府不改变现有的决定，这一情况只会变得更糟。,"Mr Farrell said without a reversal of the federal government decision, the situation was only going to get worse."
“我们很抱歉出现这种不合时宜的措辞。”,"It was an unfortunate choice of words, we're sorry it happened.'"
报告强调，安倍内阁试图通过以上三点突破，达到推动日本“正常国家化”、自卫队走出去介入国际安全事务、强化日美同盟、防华制华的多重目的。,"The report emphasized that the Abe Cabinet tried to break through the above three points to achieve the promotion of Japan's ""normal nationalization"", and the going-out of militia to intervene in international security affairs, strengthen Japan-US alliance and prevent the rise of China and resist China."
我们必须将更实惠、更可及的体操训练带给无数深受西蒙、加布丽埃勒和劳瑞影响的年轻女孩。,"We must bring more affordable and accessible gymnastics training to the communities of countless young girls who are inspired by Simone, Gabby and Laurie."
英国医学协会初级医生领导者 Johann Malawana 博士在英国医学协会所推荐的合同议定条款遭到投票抵制之后辞职。,"The BMA's junior doctor leader, Dr Johann Malawana, resigned following the vote to reject the negotiated terms of the contract, which the BMA had recommended."
但这并不意味着汤神的水平退步，这更像是他为球队整体做出了牺牲。,But this does not mean that the level of Thompson steps backward. This is more likely that he made sacrifice for the team as a whole.
东燃通用石油公司表示，“随着中国国内的石油产品品质标准不断提高，炼油设备的能力也出现提升。,"East Fuel General Oil Company said, ""With China's domestic oil product quality standards continuing to improve, the refining capacity of the equipment also increased."
禁止政治活动家及激进分子处理已完成的邮寄投票和邮寄投票信封。,Ban political campaigners and activists from handling completed postal votes and postal vote envelopes.
完成该项作业需把北部高架引桥南移700毫米。,This was done by pulling the northern approach viaduct 700 millimetres southwards.
加拿大广播公司 CBC 的一名解说员说14岁的中国游泳小将在比赛中“出发时游得比臭气散发还快”，最后“却像猪一样慢”，之后 CBC 被迫对此道歉。,Canadian broadcaster CBC has been forced to apologize after one of its commentators said a 14-year-old female Chinese swimmer 'went out like stink' and 'died like a pig' during a race.
他们记录下格雷西亚安装新喙过程中的点点滴滴，录制了一部纪录片《巨嘴鸟之国》，已于本月在动物星球频道上播放。,"They recorded a little bit of the process of installing a new beak, and recorded a documentary ""The Country of Toucan"", which was played this month on the Animal Planet Channel."
如果血栓移动，就会进入血流，阻碍血流入大脑，导致中风。,"And if the clot dislodges it can travel in the blood stream and block blood flow to the brain, causing a stroke."
此后，田亮一直广告代言不断，更是在近年扮演了“牛郎”、“雷锋”等重要角色。,"Since then, Tian Liang has been experiencing advertising endorsement. He has even served as a ""Cowherd"", ""Lei Feng"" and other important roles in recent years."
“我只是评论游泳选手的表现，而不是针对其个人。”,"'I was referring to a swimmer's performance, and not to them as a person.'"
国内一家券商分析师表示，东方证券在港基础并不算好，旗下资管业务才是东证所长。相比中银国际、中信证券等银行系券商，显得先天不足。,"A domestic brokerage analyst said that the Orient Securities in Hong Kong did not enjoy a good foundation. Only its capital management business is its strength. It has many inherent problems compared with Bank of China International and CITIC Securities, etc."
云南省第一届青运会组委会副主任、省体育局副局长常林介绍，围绕“政府主导、市场运作、节俭办赛”的原则，目前，各项筹备工作已全部到位。,"According to Chang Yin, the deputy director of the First Youth Games Organizing Committee and the deputy director of the Provincial Sports Bureau, by following the principle of ""government-led, market operation, frugal race"", all preparation work has been in place."
参加活动的公司职工表示：“自己平时主要精力都用在工作和学习上，缺少时间和平台去和同事、朋友交流。”,"Staff who participated in the activities said, ""We spent most of our time on work and study, so we lack time and platform to chat with my colleagues and friends."""
由于皮肤刚受到日晒刺激的缘故，军训回来不要立刻用美白产品。,"As the skin has just been stimulated by the sun's sake, do not immediately use whitening products after returning from military training."
他们说，Brown 的腹股沟、腿、胳膊和腹部等部位有多处枪伤，但是孩子在送医途中是清醒的。,"The grandparents say Brown suffered multiple gunshot wounds, including in his groin, leg, arm and abdomen, but was awake when he was transported to the hospital."
一对来自法国的夫妻在活动现场逗留了近3个小时，并且在迷你花牌流动教室体验了一番。,A French couple lingered at the scene for almost 3 hours and experienced a lot in the mini flower card flow classroom.
任何可提供有关周四莫尔日附近这起事故的信息的人应拨打021 644 83 46或 021 644 44 44联系警方。,Anyone with information about Thursday's incident near Morges should call police on 021 644 83 46 or 021 644 44 44.
“今天早晨，我们竟睡不着了。”,"'This morning, we couldn't sleep.'"
该模型还能显示金星早期的地形。,The model also looked at the topography of early Venus.
很显然，萨里奇已经展现出了他的天赋，并且让76人对他充满期待。,It is quite obvious that Saric already showed his gift and made 76 people full of expectations.
霍伊的退役也留下了一个空白，而奇恩·伊玛迪和马特·克兰普顿都想来填补这个空白。,Hoy's retirement also created a void which Kian Emadi and Matt Crampton tried to fill.
他们共同编写的新书《丰盛大餐》中将在周二由哈珀出版社出版，这本书介绍的是大萧条时期美国的食品历史。,"Their new, collaborative work, ""A Square Meal,"" which will be published Tuesday by Harper, is a history of American food in the Great Depression."
毕竟他只有23岁，经过一定的学习，完全可以凭借其人气出演一两部电视剧。,But Ning Zetao needs to see whether he is qualified enough compared with his predecessors.
但是这位24岁的奥运选手不是本届夏季奥运会上唯一一位撞脸名人的金牌争夺者，至少社交媒体不这样认为。,But the 24-year-old Olympian is far from the only athlete out fighting for gold this summer that boasts their own celebrity doppelganger - at least not according to social media.
德宏州老体协举重馆和武术馆、芒市一小摔跤馆、银塔景区山地自行车赛道等修缮工作已完成。,"The renovation work of Dehong old weightlifting hall and martial arts museum, Mang City Yixiao Wrestling arena, Silver Tower Scenic Area mountain bike track has been completed."
昨天，菲国中部警方进入雷伊泰省(Leyte)地区监狱，击毙1名“企图袭警”的受刑人。,"Yesterday, the central Philippine police entered the prison of Leyte area, killing a torturer who ""attempted assaulting the police""."
工程师们已经把昆斯费里大桥 (Queensferry Crossing) 的北桥面和高架桥连接到一起，也就是说大桥如今已通至法夫。,Engineers have joined the Queensferry Crossing's north deck and viaduct - meaning the bridge is now connected to Fife.
这个秘密陪伴艾米很久了。平时问题并不严重》,This secret is accompanied by Amy for a long time. Usually the problem is not serious.
还将与各国相关人士就极端组织“伊斯兰国”及恐怖活动对策交换意见。,"It will also exchange views with national stakeholders on the extreme organization of ""Islamic State"" and terrorist activities."
《丰盛大餐》是一顿丰盛的“历史珍味”。,"""A Square Meal"" is a feast of historical tidbits."
仪式结束后，参加活动人员参观山东原山艰苦创业纪念馆并体验无障碍设施建设。,"After the ceremony, all activity participants visited Shandong Yuanshan Hard Work Commemorative Museum and watched the construction of barrier-free facilities."
英国《每日电讯报》评论指出，特蕾莎·梅选择到瑞士度假，这是撒切尔夫人后，首次再有英国首相到瑞士度假。,"British ""Daily Telegraph"" commented that Teresa Mei chose to take a vacation in Switzerland. This is the first time that the British Prime Minister chose to go vacation in Swiss after Margaret Thatcher."
尽管还没有被证实，但诸多消息源都表示，苹果2016年秋季发布会将在9月举行，iPhone7真要来了。,"Although not yet confirmed, it is said by many sources that Apple's 2016 autumn conference will be held in September, and iPhone7 would really be launched into the market."
近日刚搬至旧金山的一位28岁厨师本周被发现死于当地一家商场的楼梯间。,A 28-year-old chef who had recently moved to San Francisco was found dead in the stairwell of a local mall this week.
她拼尽全力把小女孩推到河堤边，“斜坡特别滑，我怕自己没有力气也沉下去了。”,"She tried her best to push the little girl to the embankment. ""The slope is particularly slippery, and I am afraid that I have no strength but to sink."""
"这两条支流航道采取社会融资方式进行改造建设,收费已获省政府相关部门批准。",The two tributaries will conduct construction via social financing. The charges have been approved by the relevant provincial government departments.
"该企业位于青岛老城区的厂区去年年底全面停产,环保搬迁至平度的新厂区。",Its plant in the old urban area of Qingdao came to a full halt and was moved to the new plant in Pingdu due to environmental reason.
她就站在店中央，从货架上取下一条内裤，脱掉自己的紧身裤和内裤，然后就这样穿上了。,"Standing in the middle of the shop floor, she took a pair of knickers from the display, stripped off her own tights and pants and put them on."
如何在持枪攻击中使用马伽术保护自己,How to defend yourself from gun attacks using Krav Maga
吉勒斯·霍夫施泰特尔律师向《日内瓦论坛报》表示，目前已开始进行刑事调查，这是此类事件的常规流程。,"A criminal investigation has been opened, a ""logical"" step in a situation like this, lawyer Gilles Hofstetter told Le Tribune de Geneve."
澳大利亚水球选手赛后表示他的眼睛感到刺痛，想流眼泪。,Australian water polo contestant said that his eyes feel tingling and would like to shed tears.
庆祝洛杉矶中央图书馆90周年以及新书的发售,Celebrating L.A.'s Central Library's 90th birthday with - what else? - a new book
“我们了解了一系列可能会引发池水变色的原因以及水质的含碱度。”,"""We learned about a series of causes that could cause discoloration of water and result in the alkalinity of water quality."""
她表示：“我对此一无所知。”,"""I have no clue,"" she said."
电视台称，这名孩子与那名29岁的情况危急的受害者是在汽车前座上被发现的。,"The child was found shot in the front seat of a car along with the 29-year-old in critical condition, the station reports."
莫斯科旅游警察在红场、尼科利斯基步行街、古姆百货商场等地分成三个小组执勤巡逻，中国旅游警察一起跟岗学习，整个过程持续了一个多小时。,"Moscow travel police are divided into three groups for duty patrol in the Red Square, Nicolieski pedestrian street and Gu Mu Department Store. The Chinese tourist police also followed for study. The whole process lasted more than an hour."
社区法律中心每年将16万人拒之门外,"Community legal centres turn away 160,000 people a year"
这样，情况会糟糕得多。,It would have been a pretty bad situation.
她在乒坛排名连续8年保持世界第一，是乒乓球史上排名“世界第一”时间最长的女运动员。,"She ranked first in the table tennis for 8 years to maintain the world's first and is a female athlete to rank as the ""the world's first"" for the longest time in the history of table tennis."
巴塞罗那的“明代文物展”是欧洲巡展的一部分，将持续到10月初。,"As part of the European tour, Barcelona's ""Ming Dynasty Heritage Exhibition"" will continue until early October."
他还必需在影响球队表现的决策中拥有发言权。,He must also have a say in the decisions that impact the team's performance.
他们将迎来季末地中海旅游潮。,They're banking on a late-season rush to the Mediterranean.
一个国会小组在周四发布的报告中指出，美国中央司令部的官员更改了情报报告，将在伊拉克和叙利亚对抗伊斯兰国的战争情况描述得比实际情况更为乐观。,"Officials from the United States Central Command altered intelligence reports to portray a more optimistic picture of the war against the Islamic State in Iraq and Syria than events on the ground warranted, a congressional panel said in a report issued Thursday."
现在正是我们传递奥林匹克精神并扩建希思罗机场的好时机，这样我们就能为我们的未来保驾护航并且创造一笔使全英国感到骄傲的技术与就业财富。,"It is time for us to channel that Olympic spirit and expand Heathrow, securing our trading future and creating a legacy of skills and employment that Britain can be proud of."
她目前正在康复，警察仍在追捕嫌犯。,"She is recovering, and police are still searching for a suspect."
本届展会力争完成招商签约项目60个、引进资金220亿元，签订贸易合同160个以上，合同金额32亿元。,"This exhibition strives to accomplish 60 investment signing projects, introduce 22 billion yuan of fund, sign more than 160 trade contracts, which totaled 3.2 billion Yuan."
当时有花生面包、肝脏面包、大豆面包。,"There was peanut loaf, liver loaf, bean loaf."
从2014年起，旅游产业创造的收入，占锦州市GDP10%；2015年更是达到了11.3%。,"From 2014 onwards, the revenue of tourism industry accounted for 10% of the GDP of Jinzhou and reached 11.3% in 2015."
但以色列没有在客人可以直接从房间通话的国家之列。,The country however was not mentioned among the states one can call directly from the room.
田亮参加了两次奥运会的单双人十米台比赛，并获得了2金2银。,"But when he was defeated by his counterpart Hu Jia at the single 10-meter match in the 2004 Olympic Games, Tian Liang's competitive state slipped and it was said he was dismissed by the diving team."
围头村具有得天独厚的海洋环境，坐拥自然生态和人文生态两大休闲旅游资源。,"Wai Tau Tsuen boasts a unique marine environment, with two leisure travel resources including natural ecology and cultural ecology."
《极地》全景VR特别版的摄制团队表示，他们要确保每一个方位的画面都无可挑剔，让观众有身临其境之感。,"The production team of ""Polar"" Panorama VR special edition said that they will ensure that every aspect of the screen is impeccable and let the audiences have senses of immersive."
据外媒报道，因跳水池池水从蓝变绿，里约奥运“绿池”事件近日备受外界关注。,"According to foreign media reports, the ""green pool"" incident of Rio Olympic Games gained much attention because its diving pool water was changed from blue to green."
科学家表示，小头睡鲨 (Greenland shark) 是地球上寿命最长的脊椎动物。,Scientists say the Greenland shark has the longest lifespan of any vertebrate on the planet.
原标题：江苏一养殖场2000只鸡被法院查扣场主擅自变卖获刑,"Original title: The Owner of A Jiangsu Farm Was Punished Because He Disposed of The 2,000 Chicken Without Permission Which Were Checked And Detained By The Court"
苏格兰皇家银行已表明不会继续赞助六国锦标赛；同时，已努力提升不同品牌在体育赛事赞助的形象。,"RBS had already stated that it would not to continue its Six Nations sponsorship, and it has been raising the profile of different brands in its sports sponsorship."
周二，还有一名六岁儿童（女孩），在位于 West Oak Lane 社区的家门口玩耍时，被流弹射中胳膊。,"Another 6-year-old, a girl, was hit in her arm by a stray bullet Tuesday while playing in front of her home in the West Oak Lane neighborhood."
鉴于海事局72小时扣押期限于8月7日上午9点届满，遇难者亲属于7日凌晨向法院提起财产保全申请。,"In view of the expiration of the 72 hours of detention period at 9:00 a.m. on August 7 in Maritime Bureau, the victims of relatives filed a deposit insurance application to the court in the morning of August 7."
对于申领居住证的条件，上述地区普遍提出，需居住半年以上，符合有合法稳定就业、合法稳定住所、连续就读条件之一。,"For the conditions of applying for residence permit, the above regions generally said that the applicants need to live more than six months and meet one of these three requirements: having legitimate and stable employment, having legal and stable residence and continuous study."
另一名解说员 Scott Russel 也代表拜伦致歉,"Fellow commentator, Scott Russel, had to make an apology on MacDonald's behalf"
但在2004年奥运会单人十米台比赛中输给队友胡佳后，田亮的竞技状态出现下滑，并被爆出被跳水队开除。,"But when he took along his daughter to participate in the variety show ""Dad, Where Are We Going?"", he became a focus."
为了补齐这块短板，一方面，相关部门在进行城市规划时要充分考虑到体育场馆的布局。,"In order to fill the short board, on the one hand, the relevant departments shall take full account of the layout of the stadium at urban planning."
凌晨4点20分，申请人提起诉前财产保全，值班法警耐心接待。,"At 4:20 a.m., the applicant filed a pre-litigation property preservation and were received patiently by judicial police on duty."
调查人员告诉 CBS Philadelphia，看起来像是多名枪手交火。,Investigators tells CBS Philadelphia it appears there was crossfire between multiple gunmen.
此次调查的影响已超过了美国领导的在伊拉克和叙利亚的轰炸行动是否取得 （越来越多国防部官员所声称的) 成功这一问题。,The investigation has repercussions beyond the question of whether the American-led bombing campaign in Iraq and Syria is succeeding (an assertion now made by a growing number of Defense officials).
"起始于法夫的这段大桥长600米，重30,000公吨。","The bridge section from Fife is now 600 metres long and weighs 30,000 tonnes."
吉和斯瓦茨曼将讨论并分享1926年贝特伦·古德西的设计图片以及1933年哈迪・霍尔兹曼・弗夫尔事务所的修复与扩建图片。,Gee and Schwartzman are scheduled to discuss and share images of the 1926 Bertram Goodhue design as well as the 1993 restoration and addition by Hardy Holzman Pfeiffer Associates.
虽然目前这支76人的内线囤积了不少有天赋的年轻球员，但是他们并不具备萨里奇的外线能力。,"Although the current 76-team is packed with many gifted young players, they are not equipped with the outside scoring capability as Salic."
电脑文化使“选举舞弊”盛行穆斯林地区,PC culture let vote fraud in Muslim areas flourish
他的家人告诉电视台说，孩子有望康复。,Family tells the station he is expected to recover.
如果长期熬夜，不仅心血管功能受影响，而且胃肠功能、免疫系统、神经内分泌系统都会受影响，甚至罹患肿瘤的风险也会增大。,"If you stay up late, then your cardiovascular function will be affected, your gastrointestinal function, immune system, neuroendocrine system will also be affected, and even the risk of cancer will increase."
拜尔斯于周二斩获第一枚金牌，给即将退役的国家队教练卡罗利 (Martha Karolyi) 的欢送会奉上一份惊喜的厚礼。,Biles earned the first one on Tuesday while serving as the exclamation point to retiring national team coordinator Martha Karolyi's going away party.
作为2014年的首轮12号新秀，萨里奇将在下赛季正式登陆NBA，并加盟费城76人队。,"As the No.12 new arrival of the first round in 2014, Salic will officially land on the NBA in the next season, and join the Philadelphia 76ers."
这样的笑容令人信服吗？,Do the smiles convince?
她们是“终极五人组”(Final Five)，因为下届奥运体操队将由四名体操运动员组成，这是 Marta Karolyi 最后一年执教。,"They are the ""Final Five"" because the next Olympic gymnastics team will only have four gymnasts on the team, and this is Marta Karolyi's last year coaching."
整体表现非常精彩。,Brilliant all over.
今年6月，国务院印发了《全民健身计划（2016-2020年）》，将发展群众体育作为重点内容。,"In June this year, the State Council issued a ""National Fitness Program (2016 - 2020)"" and took the development of mass sports as a key content."
俄罗斯与土耳其领导人周二进行会见，双方握手并宣布正式结束长达八个月的口水战与经济制裁。,The leaders of Russia and Turkey met on Tuesday to shake hands and declare a formal end to an eight-month long war of words and economic sanctions.
她指自己把钻石藏在内衣里，连续几日上厕所、洗澡都带着，走路睡觉都十分紧张。,"She buried the diamond in her lingerie and carried it all day along, including when she went to toilet and took bath."
根据《时代周刊》9月的报道，中央司令部未对外公布这一发现。,"But the finding was not distributed outside Central Command, The Times reported in September."
“我自认为除了络腮胡以外，并不是长得很像，”布莱迪对《赫芬顿邮报》(Huffington Post) 说。,"'I personally don't see a huge resemblance, maybe besides the facial hair,' Brady told Huffington Post."
2015年1月，在哥斯达黎加中部阿拉胡埃拉省格雷西亚的一个农场，浑身是血的巨嘴鸟格雷西亚被人发现。,"In January 2015, Gracia, lying on a farm in the town of Alajuela in the middle of Costa Rica, was found with blood covering on its body."
来到了风城，闪电侠势必把球权更多地让给巴特勒和隆多，自己很可能在常规赛选择养生打法。,"After coming to Feng Cheng, the Red Star will definitely give the ball right to Butler and Rondo and he himself choose to play healthy in the regular season."
我们没有去想今天的荣耀，我们只是想着划好每一桨和赢得这场比赛，并且我们做到了。,"We weren't looking for fireworks today, we were just looking to do a good row and to go out and win that race, which we did."
“这次公司为我们提供了这样一个轻松、快乐、和谐的平台，我非常喜欢，有意义又不失趣味。”,"""This time the company has provided us with such a relaxed, happy and harmonious platform. I really like it, meaningful and interesting."""
替卡格雷的临时推荐将为成千上万受益的人们提供更多的治疗选择，对此我们深感欣慰。,In provisionally recommending ticagrelor we are pleased to be able to increase the treatment options available to the many thousands of people who stand to benefit from it.
但首先，这些同空军签订合同的团队必须证明有关科学原理会奏效。,"But firstly, the team that signed contract with the air force must prove that the scientific principles will work."
虽然前4次没有针对煤炭行业，但目标行业直接与煤炭业产生关系。,"Although the first four notices are not directly involved with coal industry, the target industry is directly related with coal industry."
这里曾是煤场，十多年前关闭后一直闲置，留下了大量的违法建筑和生活垃圾。,It was a coal field once and remained idle for more than 10 years after its closure. A large number of illegal construction and garbage were left behind.
其他人也坚决反对这些动漫形象。,Others roundly rejected the anime comparison.
利群阳光助学行动，是中国著名慈善品牌，扬子晚报利群阳光助学行动2003年起在江苏开展，资助贫困学子累计超过4000名。,"""Liqun sunshine student action"" is a well-known Chinese charity brand. Yangzi Evening News Liqun sunshine student action has been initiated in Jiangsu since 2003. More than 4,000 students have been supported."
虽说现在已经立秋，可是“秋老虎”的威力似乎一点不比夏天差。,"Although now it is the beginning of autumn, the power of ""afterheat"" seems not to be weaker at all than that in the summer."
国家统计结果表明，7月保加利亚的月通货膨胀率为1%。,"Inflation in Bulgaria was 1% on a monthly basis in July, national statistics show."
而进入省队后，张彬彬又曾因为迟迟进不了国家队，一度因为看不到希望而再度回到家里。,"And after she came into the provincial team, Zhang Binbin returned home because she found it almost hopeless to enter the national team after a long time."
"记者今天从国家税务总局了解到,截至今年6月底,各级税务机关已公布税收违法“黑名单”案件2470件。","Today, a reporter learned from the State Administration of Taxation (SAT) that as of the end of June this year, the tax authorities at all levels have announced a total of 2,470 illegal ""blacklist"" cases."
“我们和运管联合持续的对市场进行检查，规范旅行社用车行为保证游客安全。”,"""The management and we have made continuous inspection on the market to normalize the car use behavior of tourist agency to ensure the safety of tourists."""
此次事件的起因是执法部门官员试图驱散学生，因此警方使用了橡胶子弹和催泪瓦斯。,"The trouble started when law enforcement officers tried to disperse the students, which led to the police using rubber bullets and tear gas."
“最低的价格，消费者可能‘一天只需7元钱，就能购买iPhone7’。”,"""With the lowest price, the consumer may ""buy iPhone7 with just 7 yuan per day""."
自2018财年起对AGL可能产生的任何收入影响目前都受到期货市场对于批发电价的乐观展望。,Any potential earnings impact on AGL from FY18 onwards is currently limited by the strong futures market outlook for wholesale electricity prices.
但父母和亲朋好友没有放弃，不停地刷着文字直播，看到随着其他选手完赛，张彬彬名次一路提升，最终锁定决赛席位，其家中顿时爆发从一阵欢呼。,"But her parents and friends did not give up, kept watching the live and saw other players finish the game. Zhang Binbin raised her ranks all the way and finally came to the final. At this time, a burst of cheers broke out in her home."
“这不仅仅是为了防范选举舞弊，还是为了保护地方政府免遭广泛的腐败文化以及与其密切联系在一起的金融诈骗的毒害，”他说。,"""This is not solely to protect against electoral fraud, but to protect local government from the broader culture of corruption and financial fraud that goes hand in hand with it,"" he said."
令人欣慰的是，一切都进展得很顺利。,"Happily, it all went very well."
据吉林省林业厅保护处处长于长春介绍，近年来吉林省不断加大对野生动物的保护，东北虎、东北豹在中国的种群数量正显著增长，分布区域不断扩展。,"According to Yu Changchun, the Director of Jilin Provincial Department of Forestry Protection, Jilin province has gradually enhanced its conservation on wild animals in recent years. The number of populations of manchurian tigers and Northeastern leopards is growing significantly"
公司表示，再次减薪将帮助公司度过市场萧条的难关。,The company said additional cuts would give the company the room needed to move through the market downturn.
当时真是惊心动魄。,We were very much in the moment.
纪录片《巨嘴鸟之国》向人们展示，一只小小的巨嘴鸟是如何让一个国家为之改变、如何让国民都参与到反对虐待动物当中来。,"The documentary ""The State of the Toucan"" shows people how a small Toucan has changed a country and how people get involved in the fight against torture of animals."
斐济队的精彩表现令人不得不拍手称快。,It was hard not to admire Fiji's whole joyful approach.
出台或者即将出台楼市调控政策的二线城市不止苏州，还包括合肥、南京等城市。,"In addition to Suzhou, other second-tier cities including Hefei and Nanjing will also introduce the property market regulation and control policies."
"范德尚系北京大学法学博士,北京大学全球治理研究中心副主任兼秘书长,曾任美国康奈尔大学驻北京办公室主任。",Fan Deshang is a Ph.D. in Peking University and a deputy director and secretary general of the Global Governance Research Center of Peking University. He was the former director of Cornell University in Beijing.
但八年前濒临倒闭，不得不接受救助从那时开始便放弃了那样的追求。,It has retreated from them since it nearly collapsed eight years ago and had to be bailed out.
辛德斯表示：“这就像在伦敦，站台上都是英国的国旗。”,"Hindes said: ""It felt like London, with all the GB flags in the stand."""
孩子的祖父母向 CBS Philadelphia 证实，遭枪击的孩子是 Mahaj Brown。,The child's grandparents identified him to CBS Philadelphia as Mahaj Brown.
现在已过去了约4分钟。,Here it took about four minutes.
一名女性在瑞士高速公路上自杀并被辗身亡,Woman run over on Swiss motorway in apparent suicide
截至7月底，中亚班列集装箱到发量突破6.4万标箱，较2015年同期增长8%。,"As of the end of July, the volume of container received for Sino-Asia freight trains reached 64,000 TEU, an increase of 8% over the same period in 2015."
这个手段就像是引开人视线的烟雾与镜子（故意给人错误印象）。,This means like a smoke and a mirror that draws people's attention (deliberately giving a false impression).
NHS Employers 首席执行官 Daniel Mortimer 呼吁初级医生不要再上演任何罢工了。,"Daniel Mortimer, chief executive of NHS Employers, called on junior doctors not to go ahead with any strikes."
