0,1
其中，烟花爆竹机械化生产设备和安全环保产品展示将在大瑶镇进行，主要参展项目包括技术成熟、经过相关科技鉴定和安全论证的烟花爆竹生产涉药机械设备，低感度、低爆能等安全型烟火药，无硫、微烟等安全环保型个人燃放产品。,"In particular, the exhibition for mechanized equipment for the production of fireworks and firecrackers as well as safe and eco-friendly products will be held at Dayao Town. Key exhibits include technologically sophisticated mechanical equipment that uses explosive substances to produce fireworks and firecrackers that have been appraised by relevant technology and passed safety verification; low sensitivity, low blast and other safe pyrotechnic compositions; as well as sulfur-free, light smoke and other safe and eco-friendly personal fireworks and firecrackers."
理想信念是共产党人的精神之“钙”，必须加强思想政治建设，解决好世界观、人生观、价值观这个“总开关”问题。,"Ideal and belief serve as “calcium” for the spirit of members of the Communist Party, so we must strength ideological and political construction and solve any problem concerning outlook on world, outlook on life and values, which is the “master switch”."
麦维他公司的所有人普拉迪 (Pladis) 斯表示，过去几年来，公司已经向该工厂投资了 500 多万英镑。,McVitie's owner Pladis said it had invested more than £5m at the site in the last few years.
这将造福中国人民，也将造福世界各国人民。,"This will benefit the Chinese people, and benefit all the peoples of the world as well."
我发现最近自己对米特?罗姆尼版的癫狂古怪有些怀念：把狗在汽车上，14％ 的所得税（但至少我们知道他的纳税申报表），为与特朗普相比，这两个举动的罪行似乎确实太轻微了。,"I find myself actively nostalgic these days for Mitt Romney's quaint version of crazy - the dog on the car roof, the 14% income tax (but at least we knew what his tax return looked like) - both of which, compared to Trump, seem very mild offences indeed."
在周六举办的 Showtime 拳赛上，裁判一致认定加西亚打败了四分区世界冠军阿德里安·布罗纳取得胜利，至此，这两位拳手均已成为同重量级榜单前五名的选手。,"After Garcia's victory by unanimous decision over former four-division world champion Adrien Broner on Saturday on Showtime, both fighters are members of the top-five pound-for-pound list."
难道马云提“新零售”，更多的是一种总结而非对未来的展望？,Could Jack Ma’s “new retail” be more of a conclusion rather than a forecast for the future?
大大高于2015年、2016年的增长率。,significantly higher than the growth rates seen in 2015 and 2016.
能以每小时六千立方米的速度将海沙、深海岩石粉碎吸出并排放到最远十五公里外的海域。,"It can smash and suck in sea sand and deep sea rocks at a speed of 6,000 cubic meters per hour, and then discharge the particles to a location on the sea up to 15 kilometers away."
双方要落实好两国领导人的重要共识,Both sides should implement the important consensus reached by the leaders of the two countries
——2016年1月12日，习近平在第十八届中央纪律检查委员会第六次全体会议上的讲话,"-- From the speech delivered by Xi Jinping at the 6th plenary session of the 18th Central Commission for Discipline Inspection of the Communist Party of China on January 12, 2016"
全国政协副主席、台盟中央主席林文漪代表各民主党派中央和全国工商联致贺词。,"Lin Wenyi, Vice President of the CPPCC National Committee and President of the Central Committee of the Taiwan Democratic Self-Government League, delivered a congratulatory message on behalf of all democratic parties and the All-China Federation of Industry and Commerce."
李克强当天下午同梅德韦杰夫共同参观了索契奥利匹克公园的冬奥会场馆。,"On the afternoon of the same day, Li Keqiang and Medvedev jointly visited the Winter Olympic Games venue in the Olympic Park in Sochi."
依靠这两个痛点，电商把标准化程度非常高的产品，例如图书和CD，从线下移到了线上。,"On the basis of these two trigger points, e-commerce firms moved highly standardized products, such as books and CDs, online from offline."
在报告了进展、成效和存在的问题后， 曹建明表示，下一步将深化司法体制综合配套改革,"After reporting on the current progresses, achievements and problems, Cao Jianming expressed that the next step would be to deepen the comprehensive reform of the judicial system,"
不断深化学习理解。,so as to continuously reinforce their understanding of the essence and spirit of the report.
搭建多种形式、多种层次的国际政党交流合作网络，汇聚构建人类命运共同体的强大力量。,"We should build a network of international political parties for exchange and cooperation in various forms and at various levels, and bring together powerful forces to build a community with a shared future for mankind."
最终，肯尼亚选手蒙加拉以2小时13分38秒的成绩获得男子组冠军，埃塞俄比亚选手沙拉以2小时29分36秒的成绩获得女子组冠军。,"In the end, Kenya's athlete Kenneth Mungara won the championship of men's group in 2:13:38, and Ethiopian runner Gulume Tollesa won the championship of women's group in 2:29:36."
贺词说,The congratulatory message said that
最新研究发现出现在《当代生物学》杂志上的科学家们相信，结节龙死后被冲到海里，之后在泥土中形成了木乃伊。,"The scientists, whose latest findings appear in the journal Current Biology, believe Borealopelta was washed out to sea after it died and mummified in mud."
“所以，明天，我将会把党籍改成共和党”，贾斯提斯补充道。,"""So tomorrow, I will be changing my registration to Republican,"" Justice added."
回顾零售业过去的20年，电商的崛起如同早年折扣零售商的兴起，都侧重于价格和便利。,A review of the retail sector in the last 20 years has revealed that the rise of e-commerce was similar to the emergence of discount retailers many years ago; both were focused on price and convenience.
以习近平同志为核心的党中央,to the Party Central Committee with Comrade Xi Jinping as the core
中央军委晋升上将军衔仪式十一月二号在北京八一大楼隆重举行。,The ceremony for the Central Military Commission in promoting high-ranking officers to the military rank of general was held on November 2 in the August 1st Building of Beijing.
一位检察官阅读了罗伊母亲林恩?罗伊 (Lynn Roy) 的一份声明她说，“我没有一天不为失去我心爱的儿子而痛心。,"A prosecutor read a statement from Mr Roy's mother, Lynn Roy, saying there was ""not one day I do not mourn the loss of my beloved son."
他说“我希望此案能尽快解决，这样未来就不会再发生这样的事。”,"""I want this case to be solved immediately so it won't ever happen again in the future,"" he said."
南非没有死刑。,There is no death penalty in South Africa.
由于从创意到制作历时六年之久，该片被百万翘首期盼上映的粉丝称为“神坑”。,"As it took six years from creation to production, the film was known as a “super deceiver” by millions of fans who were looking forward to its release."
——2017年3月8日，习近平在参加十二届全国人大五次会议四川代表团审议时强调,"-- On March 8, 2017, Xi Jinping emphasized the following during review of the Sichuan Delegation at the 5th session of the 12th National People's Congress"
京东首家生鲜超市7FRESH近日正式开业，计划未来3到5年在全国铺设超过1000家门店。,"JD’s first fresh food supermarket 7FRESH officially opened for business recently, and plans to set up more than 1,000 stores nationwide in three to five years."
《Riodoce》周报的全体员工通常都会在周三集会，回顾他们对锡那罗州骚乱的报道计划，这些骚乱由犯罪组织、腐败官员和无尽的毒品战争引起。,"The staff of the weekly newspaper Riodoce normally meets on Wednesdays to review their plans for coverage of the most recent mayhem wrought in Sinaloa state by organized crime, corrupt officials and ceaseless drug wars."
近日东莞市政府举办的高层次人才活动周上，第一财经记者看到，当地一些颇具实力的企业纷纷参加人才洽谈会。,The Dongguan government recently held a high-level talent week event. Reporters from China Business Network noticed a number of reputable local enterprises participating in the talent fair.
诺顿说：“北京是能在表面以下发现最多东西的中国城市，你能发现很不错的艺术和音乐活动、纵情的夜生活、历史奇观、超现代的商业区和古老的胡同区。”,"Norton said: ""Beijing is a Chinese city that one can find most things below the surface. You can find very good arts and music activities, indulgent nightlife, historical wonders, ultra-modern business districts and ancient hutong areas."""
主动参与国际热点难点问题的政治解决进程。,and actively participate in the process of political settlement of difficult hot-button international issues.
同时，美国12月份失业率仍然保持在4.1%，为2000年以来最低，预计企业将未来几个月上涨工资。,"Meanwhile, the U.S. unemployment rate remained at 4.1% in December, the lowest since 2000, and companies are expected to increase wages in the coming months."
王晨参加会见。,Wang Chen attended the meeting.
一位穿着葬礼黑衣的女子站在演员身体边，唱着比利·哈乐黛的哀悼词“奇怪的果实”。,"A woman dressed in funeral black, stands over the actors bodies and performs Billie Holiday's mournful eulogy, ""Strange Fruit."""
“很难想象那些可怕的言辞和行为......竟然是像你这样的人说出来、做出来的，因为他们看起来跟你很像，”她说。,"""It's hard to hear those horrible awful words, and deeds ... come out of people that look like you and who do it because they look like you,"" she said."
三星电子在大约一年前收购了哈曼国际。,Samsung Electronics acquired Harman International about a year ago.
湖北十堰市境内的武当山，是联合国公布的世界文化遗产地之一，也是道家文化和武当武术的发源地，被称为“亘古无双胜境，天下第一仙山”。,"Wudang Mountains, located in Shiyan, Hubei Province, is a UNESCO World Heritage Site, as well as the place of origin of Toaist culture and Wudang martial arts. It is known as “a unique scenic spot since ancient times, and the premier celestial mountain in the world”."
Politico——都是关于这个故事——五月份报道了各顾问对向总统战略性提供可疑信息的嗜好。,Politico - all over this story - reported in May on advisers' penchants for strategically feeding dubious information to the president.
塔利班对一选举程序发出恐吓，该选举与国际军事行动向顾问身份的过渡吻合。,The Taliban has issued threats against an election process that coincides with the transition of international combat operations to an advisory role.
据市场星报报道，从2005年到2011年，我省GDP一举由中部并列“垫底”升至次席。,"Shichang Xingbao reported that between 2005 and 2011, the GDP of Anhui Province rose from joint “bottom” to second at one stroke."
位于普罗旺斯的农业研究所 (CRIEPPAM) 的专家艾瑞克?蔡斯 (Eric Chaisse) 说：“普罗旺斯的薰衣草正面临着巨大的威胁，因为近年来该植物受到了气候变化的影响，春季降雨大幅减少，而秋季则阴雨绵绵。,"Eric Chaisse, an expert at the Provence-based agricultural research institute CRIEPPAM, said: ""Lavender in Provence is effectively endangered, because in recent years the plant has been subjected to the effects of climate change that brought a lot less rain in the spring and mostly in the autumn."
米勒并没有从事过文学评论工作，他清楚地表明，这些人在特朗普时代的美国不会受到欢迎。,Miller was not engaging in literary criticism - he was making it clear that these people are not welcome in Trump's USA.
将中国共产党与世界政党高层对话会机制化，使之成为具有广泛代表性和国际影响力的,to institutionalize the high-level dialogue between the Chinese Communist Party and global political parties so that they can become a platform for high-level political dialogue with broad representation
研讨会在他去世后不到两个月的时间召开；记者们纷纷讨论他们共同的创伤、噩梦、失眠和多疑症。,"The workshop takes place less than two months after his death; the reporters discuss their shared trauma, their nightmares, insomnia, paranoia."
打赢这个呃蓝天保卫战，成都已建成的三座环保发电项目日处理垃圾达六千吨,"the war to protect our blue skies. Chengdu has completed the construction of three eco-friendly power generation projects, with daily waste treatment capacity of 6000 tonnes."
一些记者半开玩笑地调侃道不知道这些警察会不会就属于州长自己说的那信不过的 50%。,"Half-jokingly, some of the reporters wondered whether these officers are among the 50 percent of cops whom the governor himself has said are not trustworthy."
而科林对此予以否认，并指责保罗对某些不动产管理不力。,"Colin argues this is not true, but accuses Paul of incompetently managing some properties."
这十部音乐IP作品，方文山会自己执导一到两部，当周董被问到是否会帮忙执导时，周杰伦坦言当导演压力太大，希望找一些年轻的导演，让他们有发挥的空间。,"Fang Wenshan will direct one to two of these 10 musical IP works. When Jay Chou was asked whether he would help with the directing, he said frankly that there is too much pressure in being a director. He hoped to find a few young directors to allow them room to play their part."
当时切尔西·曼宁不能参观，也不能拍照，所以他们联系切尔西，询问她是否有兴趣制作 DNA 肖像。,"And she couldn't be visited and she couldn't be photographed at that time, so they reached out to Chelsea and asked if she'd be interested in having a DNA portrait made."
原来是老百姓上门去的，现在是上上到下面来，那么就是说,"Previously, ordinary people asked for help, but now, officials have come to help. That is"
不仅对中国互联网发展提出了新的要求，也为中国同世界各国开展网络合作提供了新的机遇。,It not only poses new requirements for the development of China’s Internet but also provides new opportunities for China to carry out network cooperation with other countries throughout the world.
何塞·穆里尼奥认为曼联签下了“天才”内马尼亚·马蒂奇,Jose Mourinho thinks Manchester United have signed a 'genius' in Nemanja Matic
深入开展治国理政、立法监督经验交流互鉴，从立法层面保障一带一路建设和欧亚经济联盟对接等领域合作顺利开展,"Carrying out in-depth the exchange of experiences and mutual learning concerning the management and governing of the country, and the legislative control, so as to ensure the smooth development of mutual cooperation in the areas docking the One Belt one Road with the Eurasian Economic Union at the legislative level."
刚刚闭幕的十二届全国人大常委会第三十次会议决定任命赵克志为公安部部长。,Zhao Kezhi was appointed as the Minister of Public Security in the recently concluded 30th Session of the Standing Committee of the 12th National People's Congress.
遏制增量、减少存量，切实打好污染防治攻坚战；,"inhibiting the increment, reducing the existing pollution and pushing hard to ensure success in pollution prevention and control."
但作为一个系列，这感觉就像时间不够用了。,"But as a franchise, it feels like it's running out of time."
韩国舆论期待这一久违的朝韩会谈，能为平昌冬奥会倒计时一个月带来一颗“彩蛋”。,Public opinion in South Korea hope that this long-waited North-South Dialog would lead to an “Easter egg” (nice surprise) for the countdown to the PyeongChang Winter Olympic Games.
"奥迪宣布改装的前一天，宝马表示将为 350,000 多辆汽车提供软件升级。","A day before Audi's announcement, BMW said it would offer to upgrade the software in more than 350,000 vehicles."
大型能源公司个个都“富可敌国”，那么全球众多能源公司中谁最趁钱呢？,All large energy companies are “extremely wealthy”. So which energy company in the world makes the most money?
“她是激发这种能量的人，”她说。,"""She was the person who was galvanizing this energy,"" she said."
部分抗议者开始往军事经常岗哨扔石头。,Some protesters started hurling stones at police and military posts.
三星同时也展示了“数字驾驶舱”，就算驾驶人不是车主，也可以让车辆更具个人化特色，因这套系统可以让用户从移动设备及云端下载驾驶人的资料。,"Samsung also exhibited a “digital cockpit”, which allows a car to adapt to the personalized characteristics of the driver even if he or she is not the car owner by accessing the user’s information from mobile devices and cloud."
是报告中推进绿色发展，建设美丽中国的内容。,a section in the report about about advancing green development and building a beautiful China.
这种紧迫的工作的时间和这种工作的高标准高要求，不能再坐到办公室来指挥啦。,The time of such urgent work and the high standards of such work call for more than just sitting in and commanding from an office.
在性行为之前服用 PrEP 意味着人体内有足够的特定药物来预防 HIV 感染。,Taking PrEP before sex means there is just enough of certain drugs in a person's body to prevent an HIV infection taking hold.
这些性爱机器人背后的目标就是要尽技术可能创造最类似真实女性的身体（虽然是按色情明星的比例）。,The aim behind these sex robots is to create as much of a physical likeness to actual women (albeit with porn star proportions) as technologically possible.
李克强表示，上海合作组织成立十六年来,"Li Keqiang said that since its establishment 16 years ago, the SCO"
本届中华环境奖的评选，旨在表彰那些为改善环境民生作出贡献的单位及个人，以体现对民意的尊重。,The selection of the current China Environmental Award was aimed at honoring entities and individuals that have contributed to improving the environment and people’s livelihoods so as to reflect popular will.
李克强强调，中方愿同俄方加强在国际事务中的沟通协调。,Li Keqiang stressed that China is ready to step up its communication and coordination with Russia in international affairs.
伴随着企业大面积复产，钢价开始趋于回落。,"As enterprises resume production on a large scale, steel prices have begun to fall."
大会主席团常务主席韩启德代表九三学社第十三届中央委员会作工作报告。,"Han Qide, Executive President of the Presidium of the conference, delivered a report on behalf of the 13th Central Committee of the Jiu San Society."
省环保厅表示，为体现公开、公平、公正的原则，接受公众监督，现将评级结果在环保厅网站公示。,"The provincial environmental protection office said that in order to reflect the principles of openness, impartiality and fairness, it welcomes public supervision, and has publicly released the rating results on the website of the environmental protection office."
电动汽车销量不佳的原因之一在于这些产品的宣传力度不够。,A reason for poor electric vehicle sales is inadequate promotional effort for these products.
收集员工有关他们因决策速度和沟通质量而受挫的反馈意见之后，她就能够通过重组公司内部团队、增加沟通培训来解决问题。,"And, after gathering feedback from employees frustrated by the speed of decision-making and the quality of communication, she was able to reorganize several teams within the company and add communication training to address the issues."
他已和汉普郡温彻斯特皇家汉普郡医院的高级顾问麻醉师杰夫?沃森医生联手，确保植入过程达到医学标准。,"He has teamed up with Dr Geoff Watson, a consultant anesthetist at the Royal Hampshire County Hospital in Winchester, Hants, to ensure the implant procedure is carried out to a medical standard."
这不仅仅是简单的固定角度曲面电视，而是为用户打造了一个允许自己根据位置调整曲率的复杂装置！,"This is not merely a simple fixed angle curved screen TV, but a complex device that allows the user to adjust the curvature according to the user’s position!"
据澎湃新闻记者了解，中兴智能汽车团队总部设在珠海，操盘人为中兴通讯执行副总裁田文果。,"Bloomberg reporters learned that ZTE Smart Auto’s headquarters will be established in Zhuhai, and the company will be headed by Tian Wenguo, Executive Vice President of ZTE Corporation."
纵观历届格莱美，碧昂斯和阿黛尔都拥有着单届格莱美夺奖最多的女歌手头衔。,"In the history of the Grammy Awards, Beyoncé and Adele are the two female singers who have won the most Grammy Awards in a single year."
风景道设计不再是出发地到目的地之间最直接快捷的路径，而是遵从“体验驾车乐趣”的设计理念，为自驾游客提供欣赏沿路美景的最佳享受；风景道能够将点状、面状旅游景观相联结，既保留了沿线生态旅游资源的历史价值和文化价值，也能举办各类主题性活动增强游客的参与性与游憩体验，为当地旅游业创造经济效益。,"The design of scenic routes is no longer the most direct and fastest route from the place of origin to the destination but adhering to the design concept of “experience the joy of driving” so as to provide self drive travelers the best enjoyment of beautiful scenery along the route. Scenic routes are able to connect spots and facets of the travel landscape. These would help retain the historical value and cultural value of the eco-tourism resources along the route. Meanwhile, various thematic activities may also be held to enhance tourist participation and recreation experience, creating economic benefit for the local tourism industry."
应当时的大赛赞助商邀请，杨仕林成为平昌冬奥会的火炬手。,"At the invitation of the contest's sponsors, Yang Shilin became the torchbearer of the Pingchang Winter Olympics."
该行称相对其 2% 的目标，超过的部分已经完全是疲软的英镑最后的底线了。,"The Bank said the overshoot relative to its 2% target was ""entirely"" down to the weak pound."
央视新闻加，观众朋友再见,"CCTV News plus, we’ll see you later"
据未经证实的当地报道称，三名平民也在该市卡拉巴格地区发生的这次事件中死亡。,Unconfirmed local reports say three civilians also died in the incident in the city's Qarabagh district.
恩格斯指出：没有哪一次巨大的历史灾难，不以历史的进步作为补偿的。,Friedrich Engels pointed out that none of great historical disasters is not compensated by historical progress.
报告提出，实施健康中国战略，加强基层医疗卫生服务体系和全科医生队伍建设，你看这下以后咱村里,"The report noted to implement healthy China strategy, strengthen the community medical and health care service system and general practitioner team building. You can find, when I convey"
除了投机属性天然引发的价格回调，本轮数字货币惨跌也与一直以来的“宿敌”——监管风险不无关系。,"A part from the price correction which is natural in speculation, the current round of digital currency tumble has also to do with the 'sworn enemy'—regulation."
坚定维护习近平总书记的核心地位，坚定维护党中央权威和集中统一领导，坚定不移坚持中国特色社会主义,"firmly maintain the central position of General Secretary Xi Jinping, firmly safeguard the authority of the Party Central Committee and centralize and unify the leadership, unswervingly uphold socialism with Chinese characteristics,"
他在伦敦向国际田联理事会发表演讲后告诉记者，药物检测做的仍然不足，被禁的教练也仍然在执教。,"Drug-testing was still insufficient and banned coaches were still operating freely, he told reporters in London after a presentation to the IAAF Council."
他补充说，“一切都得已宣布，一切都会实施。,"""Everything has been announced, everything will be implemented."
习近平强调，全军各级领导干部特别是高级干部要做备战打仗带头人。,"Xi Jinping stressed that leading cadres at all levels, especially high-ranking cadres, should play a leading role in war preparation and war fighting."
受国务院委托，农业部部长韩长赋作了关于草原生态环境保护工作情况的报告。,"The Minister of Agriculture Han Changfu, under the entrust of the State Council, made a report on grassland ecological environment protection."
接下来，他们还将在小区里义务开展清洁劳动，或者走进住户家里去宣讲环保。据介绍，此次活动的主题为“创卫·携手家庭齐上阵”，活动即日起到6月20日截止。,"Next, they will also carry out voluntary cleaning in housing estates or speak about environmental protection in the homes of residents. According to the introduction, these activities, themed “Build hygienic cities - Pitch in your family”, will be continue until June 20."
许多核心故事都是一样的。,Many of the core stories are the same.
但是更令人不安的是，很多拥有“个性”的机器人会让“复制娇妻”看起来很先进。,"But it gets even more disturbing, with many of the robots possessing ""personalities"" that would make a Stepford Wife look progressive."
——2013年9月25日，习近平在指导河北省委常委班子专题民主生活会时强调,"-- On September 25, 2013, Xi Jinping emphasized the following at the special meeting of democratic life attended by the leading group of the standing committee under the Party committee of Hebei Province"
格林纳达新民族党领袖政府总理米切尔,"The leader of the new National Party of Grenada and the Prime Minister, Mitchell"
他是此次比赛的热衷拥护者，也对在这里取得成就感到十分自豪。,He's a keen advocate of this game and is proud of his achievement here.
目前，他的身价大约为 15.9 亿美元。,He's worth about $1.59 billion.
后者于星期四称，其认为新规定虽没有必要，但可以接受，因为这些规定并不会对其救援行动带来任何“重大改变和阻碍”。,"The latter said on Thursday it regarded the new rules as unnecessary but acceptable as they would not involve any ""significant change or impediment"" to its rescue operations."
在深圳市龙岗区妇幼保健院，一大早就有数十位怀孕十二周左右的准妈妈在等待接受一项重要的检查。,"In a Maternal and Child Health Hospital in Longgang District, Shenzhen City, in the early morning, there were dozens of pregnant women who have been pregnant for about twelve weeks waiting for an important test."
四名袭击者被击毙。袭击事件导致九名学生身亡，数十人受伤，伤者已被送往附近医院治疗。,Four attackers were killed. The attack resulted in the death of nine students and the wounding of dozens of others. The injured were sent to a nearby hospital for treatment.
海伊索姆称女性的重要地位将促进阿富汗民主。,Haysom said a strong role for women will add to Afghanistan's democratic success.
如果我能评价旋转木马，我会给它满分，但幸好没有人问到。,"If I could have rated the carousel I would have given it full marks, but thankfully nobody asked."
深化各领域合作，致力于共同发展繁荣，打造加中长期稳定活跃的关系。,"deepen cooperation in various fields, commit to common development and prosperity, and build a stable and active relationship with China in the medium to long term."
